Food,ProductType,FlavorVariant,Calories-kcl,Protein-g,Carb-g,Fiber-g,Sugar-g,Sodium-g,SaturatedFat-g,MonounsaturatedFat-g,PolyunsaturatedFat-g,TransaFat-g,MeasureQuantity,MeasureType,MQCalories-kcl,MQGmWt,MQCalories100gm-kcl
Sunshine,Sunshine, Cheddar Jack Crackers,460,9.5,57.6,2.4,1.2,813,5.5,6,9.9,0.3,25,Crackers,138,30,460
Sunshine,Sunshine, Colby Crackers,512,9.6,59.3,2.2,1.2,761,6.4,7.1,12.6,0.3,25,Crackers,154,30,512
Sunshine,Sunshine, Crackers (Made With Whole Grain),511,10.7,58.2,4.3,0.5,824,6.1,7.2,12.7,0.28,27,Crackers,153,30,511
Sunshine,Sunshine, Duoz Sharp Cheddar Parmesan Crackers,500,9.7,60.5,2.3,1.5,866,5.8,6.2,11.9,0.38,25,Crackers,150,30,500
Sunshine,Sunshine, Duoz Smoked Cheddar Monterey Jack Crackers,507,9,60.8,2.2,0.9,898,6.1,6.6,12.2,0.3,25,Crackers,152,30,507
Sunshine,Sunshine, Hot & Spicy Crackers,513,8.3,61.2,2.9,1,988,6.3,7.1,12.5,0.28,25,Crackers,154,30,513
Sunshine,Sunshine, Italian Four Cheese Crackers,500,8.4,62.4,2.2,0.7,833,5.5,5.8,12,0.23,25,Crackers,150,30,500
Sunshine,Sunshine, Mozzarella Crackers,500,8.6,64.1,2.2,1.4,593,5.4,5.6,11.5,0.2,25,Crackers,150,30,500
Sunshine,Sunshine, Original Crackers,507,11.4,57.4,2.4,0.5,753,6.1,7.2,12.6,0.3,27,Crackers,152,30,507
Sunshine,Sunshine, Parmesan Garlic Crackers,503,8.5,62,2.1,1.6,869,5.5,5.9,12.3,0.43,25,Crackers,151,30,503
Sunshine,Sunshine, Pepper Jack Crackers,503,8.8,61.9,2.6,0.8,865,5.6,5.9,12.3,0.25,25,Crackers,151,30,503
Sunshine,Sunshine, Reduced Fat Crackers,449,13.3,67,2.2,0.8,823,3.5,4,6.5,0.2,29,Crackers,135,30,449
Sunshine,Sunshine, Scrabble Jr. Crackers,466,10.9,67.9,2.6,0.6,612,4.5,3.1,7.5,0.12,26,Crackers,140,30,466
Sunshine,Sunshine, Snack Mix,438,9,66.7,3.7,2.2,1107,3.2,3.8,7.3,0.17,0.5,Cup,131,30,438
Sunshine,Sunshine, White Cheddar,443,9.7,72,2.5,1.2,789,4,3,5.3,0.13,25,Crackers,133,30,443
Sunshine,Sunshine, Cheez-It Crackers,491,11,61,2.5,0.5,809,6.4,6,9.8,0.23,1,Package,123,25,491
Sunshine,Sunshine, Cheez-It Mixx And Cheesy Pizza Crackers,484,10.8,63.7,2.5,1,919,6.7,5.2,7.7,0.2,1,Pouch,121,25,484
Sunshine,Sunshine, Soup & Oyster Crackers (Large),416,8.6,76.1,2.6,2.4,1536,1.6,2.1,5.2,0.08,16,Crackers,62,15,416
Sweet Rolls,Sweet Rolls, Prepared From Recipe,360,7.1,43.7,1.2,19,357,6.1,9.1,2,0.49,1,Oz,102,28,360
Sweet Rolls,Sweet Rolls, Commercially Prepared With Raisins,372,6.2,50.9,2.4,31.7,304,3.1,4.8,7.5,0.49,1,Oz,105,28,372
Sweet Rolls,Sweet Rolls, Refrigerated Dough With Frosting,333,5,51.6,3.33,19,765,3.1,6.8,1.6,0.49,1,Oz,94,28,333
Sweet Rolls,Sweet Rolls, Refrigerated Dough With Frosting,362,5.4,56.1,3.33,19,832,3.3,7.4,1.7,0.49,1,Oz,103,28,362
Taco Shells,Taco Shells, Prepared From Recipe,476,6.4,63.5,6.7,1.5,324,7.1,6.9,5.5,0.17,1,Shell,61,13,476
Taco Shells,Taco Shells, Without Added Salt,468,7.2,62.4,7.5,19,15,3.2,8.9,8.5,0.49,1,Oz,133,28,468
Toaster Pastries,Toaster Pastries, Prepared From Recipe,370,4.1,72.6,2.3,27.2,361,4.84,4.51,4.37,0.49,1,Oz,105,28,370
Toaster Pastries,Toaster Pastries, Blueberry,388,4.2,70.3,1,26.1,334,3.6,2.7,3.2,0.03,1,Oz,110,28,388
Toaster Pastries,Toaster Pastries, Frosted (Include Apples,385,4,71.8,1.8,31,311,3.1,2.2,3.4,0.03,1,Piece,204,53,385
Toaster Pastries,Toaster Pastries, Toasted (Include Apple,409,4.7,72.7,1,29,354,2.6,6.6,1.3,0.49,1,Pastry,209,51,409
Toaster Pastries,Toaster Pastries, Kellogg'S Low Fat Pop Tarts,366,4.7,73.7,5.5,30.5,379,1.9,1.2,2.1,0.1,1,Pastry,183,50,366
Toaster Pastries,Toaster Pastries, Kellogg'S Low Fat Pop Tarts,363,4.2,74.4,5.6,29.4,357,1.7,1.1,1.9,0.1,1,Pastry,182,50,363
Toaster Pastries,Toaster Pastries, Kellogg'S Pop Tarts,412,4.6,68.4,1.1,30.9,398,2,6.5,4.8,0.49,1,Pastry,214,52,412
Toaster Pastries,Toaster Pastries, Kellogg'S Pop Tarts,438,5.4,64.4,1.5,25.4,380,2.1,7.1,9.1,0.49,1,Pastry,219,50,438
Toaster Pastries,Toaster Pastries, Kellogg'S Pop Tarts,391,4.6,71.8,1.1,31.2,320,2,6.8,1.1,0.49,1,Pastry,203,52,391
Toaster Pastries,Toaster Pastries, Kellogg'S Pop Tarts,417,4.6,69,1.4,32.3,343,4.5,3.1,5.2,0.2,1,Pastry,209,50,417
Toaster Pastries,Toaster Pastries, Kellogg'S Pop Tarts,397,4.2,72,1,36,320,1.9,6.7,1.6,0.49,1,Pastry,206,52,397
Toaster Pastries,Toaster Pastries, Kellogg'S Pop Tarts,384,4.9,70.4,2.1,35,437,3.2,2,3.2,0.2,1,Pastry,200,52,384
Toaster Pastries,Toaster Pastries, Kellogg'S Pop Tarts,399,4.2,71.6,1,35.4,320,1.9,6.2,2.6,0.49,1,Pastry,207,52,399
Toaster Pastries,Toaster Pastries, Kellogg'S Pop Tarts,390,4.1,71.7,1.3,30.3,331,3.1,2.1,3.6,0.2,1,Pastry,203,52,390
Toaster Pastries,Toaster Pastries, Kellogg'S Pop Tarts,390,4,72.4,1.3,31.7,315,3.1,2.1,3.5,0.2,1,Pastry,203,52,390
Toaster Pastries,Toaster Pastries, Kellogg'S Pop Tarts,392,6.2,69.6,1.4,36.5,410,2.8,5.9,1.8,0.49,1,Pastry,204,52,392
Toaster Pastries,Toaster Pastries, Kellogg'S Pop Tarts,398,4.7,71.1,1.1,33,355,2.9,6.2,1.5,0.49,1,Pastry,207,52,398
Tortillas,Tortillas, Corn,218,5.7,44.6,6.3,0.9,45,0.5,0.7,1.4,0.49,1,Oz,62,28,218
Tortillas,Tortillas, Corn,222,5.7,46.6,5.2,19,11,0.3,0.6,1.1,0.49,1,Oz,63,28,222
Tortillas,Tortillas, Flour,306,8.2,49.4,3.5,3.7,736,2.9,1.8,2.3,0.05,1,Tortilla,147,48,306
Tortillas,Tortillas, Flour,325,8.7,55.6,3.3,19,478,1.7,3.8,1.1,0.49,1,Oz,92,28,325
Udi'S,Udi'S, Classic French Dinner Rolls,310,8,55.1,3.6,9.5,707,4.84,4.51,4.37,0.49,1,Roll,112,36,310
Udi'S,Udi'S, Soft & Delicious White Sandwich Bread,298,5.4,51.2,5.5,11.3,515,0.6,4.7,2,0.02,1,Slice,83,28,298
Udi'S,Udi'S, Soft & Hearty Whole Grain Bread,309,7.3,49.1,4.9,9.8,510,0.3,5.4,2.4,0.02,1,Slice,77,25,309
Udi'S,Udi'S, Whole Grain Dinner Rolls,329,11.8,44.3,11.2,4.2,507,1.4,5.4,4.9,0.03,1,Roll,145,44,329
Usda Commodity,Usda Commodity, Flour Mix,400,8.5,62.5,7.1,19,1410,3.1,6.8,2,0.49,3.08,Oz,129,33.95,400
Usda Commodity,Usda Commodity, Flour Mix Low-Fat,361,9.1,70.6,3.5,19,1360,0.9,1.8,0.7,0.49,3.08,Oz,129,33.95,361
Van'S,Van'S, Totally Original Pancakes,215,3.3,40.3,1.5,4.1,331,0.5,2.4,1.2,0.01,1,Pancake,103,48,215
Van'S,Van'S, Totally Original Waffles,248,3,40.5,3.33,1.7,508,0.8,4.5,2.4,0.01,1,Waffle,117,47,248
Van'S,Van'S, Crispy Six Whole Grain + Four Seed Baked Crackers,471,7.6,67.6,3.33,19,730,4.84,4.51,4.37,0.49,3,Crackers,40,8,471
Waffles,Waffles, Frozen,289,6.9,44.2,2.4,4.5,663,2.1,4.9,1.6,0.49,1,Waffle,101,35,289
Waffles,Waffles, Frozen,309,7.4,48.4,2.6,4.4,710,2.3,5.3,1.5,0.49,1,Oz,87,28,309
Waffles,Waffles, Frozen,298,6.7,45.4,2.4,5,682,1.6,5.2,2.2,0.49,1,"Waffle, Round (4""Dia)",95,32,298
Waffles,Waffles, Frozen,297,5.8,45.7,1.5,13.1,529,3.6,2.6,3.3,0.2,2,Waffles,208,70,297
Waffles,Waffles, Frozen,263,2.7,43.1,1.4,1.7,505,0.8,4.5,2.4,0.01,1,Waffle,118,45,263
Waffles,Waffles, Frozen,312,7.2,49.3,2.4,5,730,1.6,4.9,2.2,0.49,1,Oz,88,28,312
Waffles,Waffles, Frozen,285,6.5,43,2.2,4.9,638,1.5,5.1,2.2,0.49,1,Oz,81,28,285
Waffles,Waffles, Prepared From Recipe,291,7.9,32.9,3.33,19,511,2.9,3.5,6.8,0.49,1,Oz,82,28,291
Wonton Wrappers,Wonton Wrappers (Includes Egg Roll Wrappers),Wonton Wrappers (Includes Egg Roll Wrappers),291,9.8,57.9,1.8,19,572,0.3,0.2,0.6,0.49,1,Oz,82,28,291
